"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_car",0,NA,NA,NA,NA
"asc_bus",1.94473809675825,1.75133827095936,1.11042973765025,1.64968807645985,1.1788520051206
"asc_air",2.7630118462806,1.49621478818424,1.84666791699988,1.51334628417507,1.82576312848762
"asc_rail",2.38010064531405,1.54686329723779,1.53866256285489,1.56066053767281,1.52505979863062
"b_tt_car",-0.002307685806271,0.00194398892262024,-1.18708794037805,0.00198200200426671,-1.16432062192833
"b_tt_bus",-0.00959780187998294,0.0032093461285774,-2.99057860868293,0.0030494380232363,-3.14740021172721
"b_tt_air",-0.0211739543898831,0.00730890244175152,-2.89700875865144,0.00730304021048555,-2.8993342196695
"b_tt_rail",-0.0130270980262181,0.00518151937267223,-2.51414635153621,0.00527753020291621,-2.46840804795767
"b_access",-0.0114913580861247,0.00704371995751045,-1.63143312843831,0.00676641875835867,-1.69829247885807
"b_cost_car",-0.0179609698768256,0.0138563863837522,-1.29622322728286,0.0137611607408159,-1.30519294230413
"b_cost_bus",-0.039936855126621,0.0173464836950356,-2.30230263543559,0.0178146167783437,-2.24180265135819
"b_cost_air",-0.0346173306239214,0.00483666540385519,-7.15727215621092,0.00481389588928376,-7.19112573684512
"b_cost_rail",-0.0363073287404372,0.00621053531406818,-5.8460868354123,0.00615803502940542,-5.89592760792444
