"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_car",-1.72085071396462,NA,NA,NA,NA
"asc_bus",0.223883750709085,NA,NA,NA,NA
"asc_air",1.0421538994181,NA,NA,NA,NA
"asc_rail",0.659246966847369,NA,NA,NA,NA
"b_tt_car",-0.00230769718743562,NA,NA,NA,NA
"b_tt_bus",-0.00959780612300042,NA,NA,NA,NA
"b_tt_air",-0.0211739528249144,NA,NA,NA,NA
"b_tt_rail",-0.0130271166494728,NA,NA,NA,NA
"b_access",-0.0114913489129253,NA,NA,NA,NA
"b_cost_car",-0.0179610383152719,NA,NA,NA,NA
"b_cost_bus",-0.0399368919085898,NA,NA,NA,NA
"b_cost_air",-0.0346173191563774,NA,NA,NA,NA
"b_cost_rail",-0.0363073400393983,NA,NA,NA,NA
